,Mathematics.A,Mathematics.C,Mathematics.B,Mathematics.D,Dutch,English,Latin,Greek,Number.of.ECT.s,Mathematics.Univ,Dutch.Univ
Mathematics.A,1,-0.31,-0.61,-0.33,-0.02,0.02,0,0,0.1,0.08,0.08
Mathematics.C,-0.31,1,-0.47,-0.25,0.02,-0.01,-0.06,-0.06,0.05,0.04,0.05
Mathematics.B,-0.61,-0.47,1,0.51,0.01,-0.01,0.06,0.06,0.03,0.11,-0.09
Mathematics.D,-0.33,-0.25,0.51,1,-0.01,-0.01,0.04,0.03,-0.06,-0.06,-0.04
Dutch,-0.02,0.02,0.01,-0.01,1,-0.01,0,0,0.24,0.07,0.29
English,0.02,-0.01,-0.01,-0.01,-0.01,1,0,0,0.18,0.07,0.22
Latin,0,-0.06,0.06,0.04,0,0,1,0.94,-0.1,-0.03,-0.17
Greek,0,-0.06,0.06,0.03,0,0,0.94,1,-0.11,-0.04,-0.18
Number.of.ECT.s,0.1,0.05,0.03,-0.06,0.24,0.18,-0.1,-0.11,1,0.73,0.63
Mathematics.Univ,0.08,0.04,0.11,-0.06,0.07,0.07,-0.03,-0.04,0.73,1,0.05
Dutch.Univ,0.08,0.05,-0.09,-0.04,0.29,0.22,-0.17,-0.18,0.63,0.05,1
